,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Primary steel,0.851936219,0.848253013,0.844569808,0.840886603,0.837203398,0.833520193,0.829836987,0.826153782,0.822470577,0.818787372,0.815104167,0.804929957,0.794755747,0.784581537,0.774407328,0.764233118,0.754058908,0.743884698,0.733710489,0.723536279,0.713362069,0.712571476,0.711780884,0.710990291,0.710199699,0.709409106,0.708618514,0.707827922,0.707037329,0.706246737,0.705456144,0.704665552,0.703874959,0.703084367,0.702293774,0.701503182,0.700712589,0.695865731,0.693698174,0.691570632,0.689481393,0.687428859,0.685411532,0.683428011,0.681476981,0.679557203,0.677667515,0.675806818,0.673974079,0.672168318,0.670388612
Secondary steel,0.148063781,0.151746987,0.155430192,0.159113397,0.162796602,0.166479807,0.170163013,0.173846218,0.177529423,0.181212628,0.184895833,0.195070043,0.205244253,0.215418463,0.225592672,0.235766882,0.245941092,0.256115302,0.266289511,0.276463721,0.286637931,0.287428524,0.288219116,0.289009709,0.289800301,0.290590894,0.291381486,0.292172078,0.292962671,0.293753263,0.294543856,0.295334448,0.296125041,0.296915633,0.297706226,0.298496818,0.299287411,0.304134269,0.306301826,0.308429368,0.310518607,0.312571141,0.314588468,0.316571989,0.318523019,0.320442797,0.322332485,0.324193182,0.326025921,0.327831682,0.329611388
